"glass_type","component_j","component_k","baseline_r","max_absolute_change","median_absolute_change","minimum_r","maximum_r","sign_stability"
"高钾",5,9,-0.0072696725643517,0.167486458989415,0.0309812780735535,-0.174756131553767,0.107704129452456,0.5625
"高钾",5,10,0.181178497348922,0.125626690648416,0.0189023632918636,0.0555518067005059,0.242495109063411,1
"高钾",5,11,0.0900044269505306,0.10143108573679,0.0255989911910967,-0.011426658786259,0.170193831149677,0.8125
"高钾",5,12,0.0554660954996376,0.185550092825535,0.043235840176509,-0.130083997325897,0.137345282580826,0.8125
"高钾",5,13,0.0652080406052985,0.566399706371205,0.0303772598951474,-0.501191665765907,0.139598973581582,0.9375
"高钾",5,14,0.0684180096689679,0.121910058898742,0.0250552193096637,-0.0311917587127909,0.19032806856771,0.8125
"高钾",6,7,-0.394551502915282,0.124928980535542,0.00967817702439644,-0.488186438196653,-0.26962252237974,1
"高钾",6,8,-0.29333944556724,0.0733014128193759,0.0244247760605243,-0.366640858386616,-0.24631974123339,1
"高钾",6,9,0.083128245237789,0.157698827942436,0.0166058554658869,-0.0128104607688398,0.240827073180225,0.875
"高钾",6,10,-0.189705168878086,0.294824998405853,0.011283131075,-0.384806513276306,0.105119829527767,0.9375
"高钾",6,11,0.218386677484859,0.187505945773329,0.0252454035259872,0.0807311121609621,0.405892623258188,1
"高钾",6,12,0.0144112555249763,0.120690846400821,0.0233939673664041,-0.106279590875844,0.122134936452972,0.6875
"高钾",6,13,0.136752488441912,0.124147325675489,0.0167826890089774,0.0126051627664234,0.210740133163379,1
"高钾",6,14,-0.125007056637687,0.269484408549916,0.0159536986891842,-0.394491465187604,0.0255152976567457,0.9375
"高钾",7,8,0.557105971828866,0.385334205610224,0.008078196110964,0.171771766218642,0.671292631966771,1
"高钾",7,9,-0.23094309275942,0.167216332449427,0.0359874993156149,-0.398159425208847,-0.0777829412670671,1
"高钾",7,10,0.258089813400397,0.14033955880452,0.0186062917759518,0.117750254595877,0.329920510705752,1
"高钾",7,11,-0.00954360914671686,0.219265560755666,0.0156481712887198,-0.152739887928509,0.209721951608949,0.75
"高钾",7,12,-0.384810409971865,0.248499204807296,0.0271510515700057,-0.521801086763619,-0.136311205164569,1
"高钾",7,13,-0.697216804121459,0.254680734786912,0.00621014520571839,-0.850669378633416,-0.442536069334547,1
"高钾",7,14,0.0467817396483411,0.169990708509115,0.0211714929698181,-0.0422178559179982,0.216772448157456,0.8125
"高钾",8,9,-0.162605945975513,0.282243433269752,0.0117198883796908,-0.444849379245265,-0.00456537570136734,1
"高钾",8,10,0.112486645074102,0.0795889023934688,0.0155257133257543,0.0328977426806329,0.179704498984354,1
"高钾",8,11,0.00626362645999937,0.379307431453946,0.0148752648724754,-0.115763278585371,0.385571057913945,0.4375
"高钾",8,12,-0.216559619721725,0.514428874208278,0.0245838555805378,-0.404773658985563,0.297869254486553,0.9375
"高钾",8,13,-0.53227145016489,1.04106199215058,0.0195674242317281,-0.625889450848506,0.508790541985691,0.9375
"高钾",8,14,0.223834993528003,0.118309576239191,0.0195645937061531,0.158086866446803,0.342144569767194,1
"高钾",9,10,0.570338609203785,0.224216139463795,0.0191002717841658,0.463405946453925,0.79455474866758,1
"高钾",9,11,-0.186379606755283,0.141630448807415,0.0210362634256721,-0.267451933020308,-0.0447491579478682,1
"高钾",9,12,-0.0741688235325984,0.206305992671519,0.0246946670729875,-0.196899354428344,0.132137169138921,0.875
"高钾",9,13,-0.2155228520025,0.0706429392262206,0.0267597510575751,-0.286165791228721,-0.168791901032162,1
"高钾",9,14,-0.700967345314575,0.10621788917211,0.00772757021249765,-0.807185234486686,-0.65590568454285,1
"高钾",10,11,0.272281478933583,0.188490801536501,0.0202102316895627,0.0837906773970813,0.3883241276799,1
"高钾",10,12,0.252091390829387,0.261679872628796,0.00968823192586304,0.119611294431521,0.513771263458183,1
"高钾",10,13,-0.197337085388339,0.123480158408731,0.0328828214745443,-0.252078011135736,-0.0738569269796075,1
"高钾",10,14,-0.593144553636386,0.0952016857136671,0.0183974518108975,-0.687831685416374,-0.497942867922719,1
"高钾",11,12,0.201942937429618,0.139121544300399,0.0354729274172451,0.078001266655392,0.341064481730017,1
"高钾",11,13,0.211948498815612,0.287629672561424,0.012549213217857,-0.0756811737458118,0.356353158032596,0.9375
"高钾",11,14,0.0547331571886193,0.198618119486767,0.0174576243329863,-0.0743703475761648,0.253351276675387,0.875
"高钾",12,13,0.60949498493502,0.166733195298701,0.00362874579122024,0.442761789636319,0.742327724294969,1
"高钾",12,14,-0.122060330058343,0.156518874623684,0.0206781822108675,-0.237802142485333,0.0344585445653411,0.875
"高钾",13,14,0.125254243167517,0.159293420603031,0.020596562694484,0.0101781217805887,0.284547663770549,1
"铅钡",1,2,0.387523957612379,0.0267846960436336,0.00869913347676171,0.36467323851706,0.414308653656013,1
"铅钡",1,3,0.228797605759243,0.0964317513167243,0.00968009207211354,0.162991205701081,0.325229357075967,1
"铅钡",1,4,-0.355658624390269,0.036114648256876,0.00343785663086682,-0.384279406901081,-0.319543976133393,1
"铅钡",1,5,0.0314736239332106,0.154439124711279,0.0121716352287851,-0.122965500778068,0.0701829329332881,0.925
"铅钡",1,6,0.523569636177258,0.0764125082305425,0.00768925584022739,0.447157127946715,0.556634187851899,1
"铅钡",1,7,0.00896500867408218,0.132155032030419,0.0137797676039116,-0.123190023356337,0.0550520141620671,0.75
"铅钡",1,8,-0.078807711440175,0.0737379995044164,0.00668890690288629,-0.122994803342716,-0.00506971193575859,1
"铅钡",1,9,0.0782389207139882,0.0421243845895713,0.00937013515020924,0.0361145361244169,0.110947389212062,1
"铅钡",1,10,0.0169940233852727,0.0898112160112892,0.00410845898916964,-0.00500298541475838,0.106805239396562,0.95
"铅钡",1,11,-0.442884846754735,0.0564843286527282,0.00543332261696625,-0.499369175407464,-0.418329155666947,1
"铅钡",1,12,-0.405414568376801,0.03855313615822,0.00576873649574655,-0.437676129941005,-0.366861432218581,1
"铅钡",1,13,0.162785470824505,0.0783705867897014,0.00679429947878993,0.116724951376807,0.241156057614206,1
"铅钡",1,14,-0.393845594224813,0.221615120498216,0.00333781792896806,-0.460077519514019,-0.172230473726597,1
"铅钡",2,3,0.0597086312240278,0.0724901126356404,0.0134459592491828,-0.0127814814116126,0.105221267957396,0.975
"铅钡",2,4,-0.306707790289593,0.113278888373537,0.00543946498571479,-0.386790714704404,-0.193428901916056,1
"铅钡",2,5,-0.0283363657795519,0.0874526956107794,0.0158272426368208,-0.115789061390331,0.0185536257327405,0.875
"铅钡",2,6,0.196520770713179,0.0628690375094578,0.0085146175816965,0.133651733203721,0.24851302673776,1
"铅钡",2,7,-0.244863554505206,0.0725085861547514,0.0146741160655627,-0.297048491538697,-0.172354968350454,1
"铅钡",2,8,0.00693077503836697,0.092871334572678,0.00984038947009386,-0.0859405595343111,0.0545783791452431,0.75
"铅钡",2,9,-0.179517729608024,0.0396107183833205,0.0103373550493535,-0.219128447991345,-0.143542878792642,1
"铅钡",2,10,0.111941093229568,0.0376837943383236,0.00652934543758357,0.0742572988912447,0.14367734784774,1
"铅钡",2,11,-0.655999924925786,0.0613522640542109,0.00631407332378786,-0.717352188979997,-0.614372208045915,1
"铅钡",2,12,-0.100383893901076,0.0750274817691746,0.0094052927135406,-0.144468536965263,-0.0253564121319016,1
"铅钡",2,13,-0.0875873889053817,0.0834688722458358,0.00809808813542241,-0.160563808556028,-0.00411851665954593,1
"铅钡",2,14,-0.212223176307397,0.0573395402367889,0.00651316222946687,-0.237846595557832,-0.154883636070608,1
"铅钡",3,4,-0.353780277873086,0.0815602081135278,0.00651039781715645,-0.432376553323406,-0.272220069759558,1
"铅钡",3,5,0.116030407125434,0.0635920125956597,0.0156662134371541,0.0524383945297745,0.175405925933016,1
"铅钡",3,6,0.420627619904456,0.0444403881378834,0.00877264056569921,0.378582034776665,0.465068008042339,1
"铅钡",3,7,0.00831808266171102,0.0591733121428261,0.0155922723869369,-0.0508552294811151,0.0549152333430195,0.6
"铅钡",3,8,-0.218551780512528,0.062417707717657,0.00840627383424757,-0.280969488230185,-0.176082870673691,1
"铅钡",3,9,-0.293952217550467,0.0423899500747678,0.00882689505717027,-0.331660876956941,-0.251562267475699,1
